age_in_days,age_to_years,age_group
10000,27,30 or less
10001,27,30 or less
10002,27,30 or less
10003,27,30 or less
10004,27,30 or less
10005,27,30 or less
10006,27,30 or less
10007,27,30 or less
10008,27,30 or less
10009,27,30 or less
10010,27,30 or less
10011,27,30 or less
10012,27,30 or less
10013,27,30 or less
10014,27,30 or less
10015,27,30 or less
10016,27,30 or less
10017,27,30 or less
10018,27,30 or less
10019,27,30 or less
10020,27,30 or less
10021,27,30 or less
10022,27,30 or less
10023,27,30 or less
10024,27,30 or less
10025,27,30 or less
10026,27,30 or less
10027,27,30 or less
10028,27,30 or less
10029,27,30 or less
10030,27,30 or less
10031,27,30 or less
10032,27,30 or less
10033,27,30 or less
10034,27,30 or less
10035,27,30 or less
10036,27,30 or less
10037,27,30 or less
10038,27,30 or less
10039,27,30 or less
10040,27,30 or less
10041,27,30 or less
10042,27,30 or less
10043,27,30 or less
10044,27,30 or less
10045,28,30 or less
10046,28,30 or less
10047,28,30 or less
10048,28,30 or less
10049,28,30 or less
10050,28,30 or less
10051,28,30 or less
10052,28,30 or less
10053,28,30 or less
10054,28,30 or less
10055,28,30 or less
10056,28,30 or less
10057,28,30 or less
10058,28,30 or less
10059,28,30 or less
10060,28,30 or less
10061,28,30 or less
10062,28,30 or less
10063,28,30 or less
10064,28,30 or less
10065,28,30 or less
10066,28,30 or less
10067,28,30 or less
10068,28,30 or less
10069,28,30 or less
10070,28,30 or less
10071,28,30 or less
10072,28,30 or less
10073,28,30 or less
10074,28,30 or less
10075,28,30 or less
10076,28,30 or less
10077,28,30 or less
10078,28,30 or less
10079,28,30 or less
10080,28,30 or less
10081,28,30 or less
10082,28,30 or less
10083,28,30 or less
10084,28,30 or less
10085,28,30 or less
10086,28,30 or less
10087,28,30 or less
10088,28,30 or less
10089,28,30 or less
10090,28,30 or less
10091,28,30 or less
10092,28,30 or less
10093,28,30 or less
10094,28,30 or less
10095,28,30 or less
10096,28,30 or less
10097,28,30 or less
10098,28,30 or less
10099,28,30 or less
10100,28,30 or less
10101,28,30 or less
10102,28,30 or less
10103,28,30 or less
10104,28,30 or less
10105,28,30 or less
10106,28,30 or less
10107,28,30 or less
10108,28,30 or less
10109,28,30 or less
10110,28,30 or less
10111,28,30 or less
10112,28,30 or less
10113,28,30 or less
10114,28,30 or less
10115,28,30 or less
10116,28,30 or less
10117,28,30 or less
10118,28,30 or less
10119,28,30 or less
10120,28,30 or less
10121,28,30 or less
10122,28,30 or less
10123,28,30 or less
10124,28,30 or less
10125,28,30 or less
10126,28,30 or less
10127,28,30 or less
10128,28,30 or less
10129,28,30 or less
10130,28,30 or less
10131,28,30 or less
10132,28,30 or less
10133,28,30 or less
10134,28,30 or less
10135,28,30 or less
10136,28,30 or less
10137,28,30 or less
10138,28,30 or less
10139,28,30 or less
10140,28,30 or less
10141,28,30 or less
10142,28,30 or less
10143,28,30 or less
10144,28,30 or less
10145,28,30 or less
10146,28,30 or less
10147,28,30 or less
10148,28,30 or less
10149,28,30 or less
10150,28,30 or less
10151,28,30 or less
10152,28,30 or less
10153,28,30 or less
10154,28,30 or less
10155,28,30 or less
10156,28,30 or less
10157,28,30 or less
10158,28,30 or less
10159,28,30 or less
10160,28,30 or less
10161,28,30 or less
10162,28,30 or less
10163,28,30 or less
10164,28,30 or less
10165,28,30 or less
10166,28,30 or less
10167,28,30 or less
10168,28,30 or less
10169,28,30 or less
10170,28,30 or less
10171,28,30 or less
10172,28,30 or less
10173,28,30 or less
10174,28,30 or less
10175,28,30 or less
10176,28,30 or less
10177,28,30 or less
10178,28,30 or less
10179,28,30 or less
10180,28,30 or less
10181,28,30 or less
10182,28,30 or less
10183,28,30 or less
10184,28,30 or less
10185,28,30 or less
10186,28,30 or less
10187,28,30 or less
10188,28,30 or less
10189,28,30 or less
10190,28,30 or less
10191,28,30 or less
10192,28,30 or less
10193,28,30 or less
10194,28,30 or less
10195,28,30 or less
10196,28,30 or less
10197,28,30 or less
10198,28,30 or less
10199,28,30 or less
10200,28,30 or less
10201,28,30 or less
10202,28,30 or less
10203,28,30 or less
10204,28,30 or less
10205,28,30 or less
10206,28,30 or less
10207,28,30 or less
10208,28,30 or less
10209,28,30 or less
10210,28,30 or less
10211,28,30 or less
10212,28,30 or less
10213,28,30 or less
10214,28,30 or less
10215,28,30 or less
10216,28,30 or less
10217,28,30 or less
10218,28,30 or less
10219,28,30 or less
10220,28,30 or less
10221,28,30 or less
10222,28,30 or less
10223,28,30 or less
10224,28,30 or less
10225,28,30 or less
10226,28,30 or less
10227,28,30 or less
10228,28,30 or less
10229,28,30 or less
10230,28,30 or less
10231,28,30 or less
10232,28,30 or less
10233,28,30 or less
10234,28,30 or less
10235,28,30 or less
10236,28,30 or less
10237,28,30 or less
10238,28,30 or less
10239,28,30 or less
10240,28,30 or less
10241,28,30 or less
10242,28,30 or less
10243,28,30 or less
10244,28,30 or less
10245,28,30 or less
10246,28,30 or less
10247,28,30 or less
10248,28,30 or less
10249,28,30 or less
10250,28,30 or less
10251,28,30 or less
10252,28,30 or less
10253,28,30 or less
10254,28,30 or less
10255,28,30 or less
10256,28,30 or less
10257,28,30 or less
10258,28,30 or less
10259,28,30 or less
10260,28,30 or less
10261,28,30 or less
